Feature,Mean_SHAP_Impact
last_fico_range_high,2.1265564
last_fico_range_low,0.5632686
term__60_months,0.23875311
annual_inc,0.11867799
mo_sin_old_rev_tl_op,0.106886946
dti,0.09914568
loan_amnt,0.09890915
emp_length_10__years,0.090285264
int_rate,0.082506545
fico_range_low,0.06878502
installment,0.059376497
max_bal_bc,0.051620778
all_util,0.04620237
funded_amnt,0.040870465
pct_tl_nvr_dlq,0.040541552
total_bal_il,0.038403105
total_rev_hi_lim,0.03163655
total_acc,0.028081724
tot_cur_bal,0.026223736
inq_last_6mths,0.023321206
revol_util,0.022055356
percent_bc_gt_75,0.021751316
home_ownership_MORTGAGE,0.021464549
verification_status_Verified,0.019772904
num_il_tl,0.019013193
avg_cur_bal,0.01844292
inq_last_12m,0.017320484
bc_open_to_buy,0.01634083
num_rev_tl_bal_gt_0,0.015926162
num_rev_accts,0.015748389
home_ownership_RENT,0.014998155
emp_length___1_year,0.014661992
num_actv_bc_tl,0.01254281
bc_util,0.012477658
open_rv_24m,0.012358096
open_il_12m,0.011850866
total_il_high_credit_limit,0.01128142
fico_range_high,0.01037578
open_il_24m,0.010371479
num_tl_op_past_12m,0.009992471
total_bc_limit,0.009951975
mths_since_recent_inq,0.009703744
mths_since_last_record,0.009476863
mths_since_rcnt_il,0.009106429
purpose_small_business,0.009032068
num_accts_ever_120_pd,0.008867967
revol_bal,0.008453854
num_bc_tl,0.007417802
acc_open_past_24mths,0.007153213
tot_hi_cred_lim,0.0066315476
mo_sin_rcnt_tl,0.005496134
pub_rec_bankruptcies,0.0051438324
total_bal_ex_mort,0.0049303323
open_acc_6m,0.00482077
num_bc_sats,0.004798284
home_ownership_OWN,0.004599723
mo_sin_old_il_acct,0.0045825387
grade_D,0.004573835
open_rv_12m,0.0045506447
num_sats,0.0043888646
mths_since_last_delinq,0.004023343
num_actv_rev_tl,0.0038191776
num_tl_90g_dpd_24m,0.0037157417
open_act_il,0.0035161467
il_util,0.002910274
pub_rec,0.0027436127
mo_sin_rcnt_rev_tl_op,0.0025247994
mths_since_recent_bc,0.0024636632
purpose_medical,0.002390853
mths_since_recent_revol_delinq,0.002239458
mort_acc,0.0021066002
num_op_rev_tl,0.0019026228
open_acc,0.0018563491
total_cu_tl,0.0017346556
tot_coll_amt,0.0016382996
grade_B,0.0015842918
inq_fi,0.001564206
verification_status_Source_Verified,0.0014916925
mths_since_recent_bc_dlq,0.00090939284
purpose_debt_consolidation,0.0005730569
emp_length_8_years,0.00056759105
grade_E,0.0005390265
grade_C,0.00044393164
purpose_moving,0.000427395
purpose_credit_card,0.00034899238
purpose_home_improvement,0.00024712452
delinq_2yrs,0.00024341517
chargeoff_within_12_mths,0.000212773
emp_length_5_years,0.00016245632
tax_liens,0.00013463711
emp_length_4_years,9.700123e-05
purpose_other,6.5029984e-05
purpose_renewable_energy,5.989541e-05
grade_F,4.8661357e-05
purpose_vacation,4.7540565e-05
disbursement_method_DirectPay,4.0808354e-05
num_tl_30dpd,3.7435784e-05
purpose_major_purchase,3.3721237e-05
emp_length_6_years,2.3157027e-05
delinq_amnt,1.829514e-05
acc_now_delinq,1.3847922e-05
purpose_educational,1.26904615e-05
grade_G,1.0517464e-05
emp_length_2_years,8.333125e-06
purpose_wedding,8.171854e-06
num_tl_120dpd_2m,1.4381424e-06
home_ownership_NONE,0.0
emp_length_7_years,0.0
emp_length_3_years,0.0
home_ownership_OTHER,0.0
emp_length_9_years,0.0
purpose_house,0.0
